Dataset,Database,Tables,Columns,avg columns,Requests,Triplet score,avg query complexity,avg table complexity,Complexity score,Success rate text,Success rate db_conn
spider,tvshow,3,25,8.33,62,(46/16/0),1.87,8.33,2,34.95%,71.51%
spider,poker_player,2,11,5.5,40,(32/8/0),1.95,5.5,2.04,72.92%,94.58%
spider,singer,2,10,5,30,(20/8/2),2.27,5,2.36,66.67%,90.56%
spider,employee_hire_evaluation,4,17,4.25,38,(24/14/0),2.63,4.25,2.73,58.77%,88.6%
spider,orchestra,4,23,5.75,40,(26/10/4),2.6,5.75,2.73,46.25%,89.58%
spider,cre_Doc_Template_Mgt,4,17,4.25,84,(50/34/0),2.69,4.25,2.79,38.89%,78.17%
spider,course_teach,3,10,3.33,30,(14/14/2),2.87,3.33,2.95,43.89%,78.33%
spider,wta_1,3,43,14.33,62,(36/26/0),2.65,14.33,2.96,35.75%,68.55%
spider,concert_singer,4,21,5.25,45,(26/19/0),2.87,5.25,2.99,50.37%,76.3%
spider,voter_1,3,9,3,15,(10/3/2),2.93,3,3.01,42.22%,71.11%
spider,flight_2,3,13,4.33,80,(44/32/4),3.05,4.33,3.16,43.96%,74.58%
spider,world_1,4,26,6.5,120,(66/42/12),3.13,6.5,3.3,34.44%,65.83%
spider,dog_kennels,8,49,6.12,82,(54/14/14),3.22,6.12,3.39,29.88%,62.2%
bird,formula_1,13,94,7.23,174,(103/52/19),3.31,7.23,3.51,11.88%,33.05%
bird,california_schools,3,89,29.67,89,(52/34/3),3,29.67,3.75,8.61%,23.78%
bird,thrombosis_prediction,3,64,21.33,163,(78/82/3),3.28,21.33,3.87,2.25%,10.63%
bird,superhero,10,31,3.1,129,(49/68/12),3.95,3.1,4.06,11.89%,27.13%
bird,european_football_2,7,199,28.43,129,(76/38/15),3.5,28.43,4.34,19.38%,34.5%
bird,financial,8,55,6.88,106,(21/69/16),4.64,6.88,4.91,5.97%,15.88%
bird,debit_card_specializing,5,21,4.2,64,(16/40/8),5.05,4.2,5.23,9.9%,19.79%
